"OSD030ad.Code.or.Value","OSD030ad.Value.Description","OSD030ad.Count","OSD030ad.Cumulative","OSD030ad.Skip.to.Item"
"73","73",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5934,5935,NA
