"WBXP059.Code.or.Value","WBXP059.Value.Description","WBXP059.Count","WBXP059.Cumulative","WBXP059.Skip.to.Item"
"-171.9975 to 153.2034","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
