"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",3880,3880,""
"2","No",4306,8186,"DRD360"
"7","Refused",20,8206,"DRD360"
"9","Don't know",34,8240,"DRD360"
".","Missing",1098,9338,""
