"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 1014.5","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
