"SXQ260.Code.or.Value","SXQ260.Value.Description","SXQ260.Count","SXQ260.Cumulative","SXQ260.Skip.to.Item"
"1","Yes",110,110,NA
"2","No",3413,3523,NA
"7","Refused",3,3526,NA
"9","Don't know",5,3531,NA
".","Missing",1771,5302,NA
