"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",120,120,NA
"2","No",3120,3240,NA
"7","Refused",0,3240,NA
"9","Don't know",0,3240,NA
".","Missing",305,3545,NA
