"WTSAU22.Code.or.Value","WTSAU22.Value.Description","WTSAU22.Count","WTSAU22.Cumulative","WTSAU22.Skip.to.Item"
"0 to 477939.30442","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
