"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",96,96,""
"2","No",5025,5121,"DRD370I"
".","Missing",4692,9813,""
