"RFXC097.Code.or.Value","RFXC097.Value.Description","RFXC097.Count","RFXC097.Cumulative","RFXC097.Skip.to.Item"
"-7.362 to 4.675","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
