"LBDSD1LC.Code.or.Value","LBDSD1LC.Value.Description","LBDSD1LC.Count","LBDSD1LC.Cumulative","LBDSD1LC.Skip.to.Item"
"0","At or above the detection limit",3837,3837,NA
"1","Below lower detection limit",29,3866,NA
".","Missing",1777,5643,NA
