"LBC138LA.Code.or.Value","LBC138LA.Value.Description","LBC138LA.Count","LBC138LA.Cumulative","LBC138LA.Skip.to.Item"
"1.662 to 117.3","Range of Values",298,298,NA
".","Missing",3,301,NA
