"URXEPB.Code.or.Value","URXEPB.Value.Description","URXEPB.Count","URXEPB.Cumulative","URXEPB.Skip.to.Item"
"0.71 to 1110","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
