"LBDHEG.Code.or.Value","LBDHEG.Value.Description","LBDHEG.Count","LBDHEG.Cumulative","LBDHEG.Skip.to.Item"
"1","Positive",344,344,NA
"2","Negative",7312,7656,NA
".","Missing",635,8291,NA
