"BMIARMC.Code.or.Value","BMIARMC.Value.Description","BMIARMC.Count","BMIARMC.Cumulative","BMIARMC.Skip.to.Item"
"1","Could not obtain",461,461,NA
".","Missing",10016,10477,NA
