"ENXTR1Q.Code.or.Value","ENXTR1Q.Value.Description","ENXTR1Q.Count","ENXTR1Q.Cumulative","ENXTR1Q.Skip.to.Item"
"5 to 258","Range of Values",6394,6394,NA
".","Missing",1801,8195,NA
