"TYXA251.Code.or.Value","TYXA251.Value.Description","TYXA251.Count","TYXA251.Cumulative","TYXA251.Skip.to.Item"
"0.236 to 4.414","Range of Values",72,72,NA
".","Missing",5513,5585,NA
