"DED120.Code.or.Value","DED120.Value.Description","DED120.Count","DED120.Cumulative","DED120.Skip.to.Item"
"15 to 480","Range of Values",2199,2199,NA
"0","No time spent outdoors",1079,3278,NA
"14","1-14 minutes",92,3370,NA
"3333","Does not work or go to school",428,3798,NA
"7777","Refused",0,3798,NA
"9999","Don't Know",16,3814,NA
".","Missing",4,3818,NA
