"DSQTPROT.Code.or.Value","DSQTPROT.Value.Description","DSQTPROT.Count","DSQTPROT.Cumulative","DSQTPROT.Skip.to.Item"
"0.01 to 72","Range of Values",174,174,NA
".","Missing",9582,9756,NA
