"AUXLR273.Code.or.Value","AUXLR273.Value.Description","AUXLR273.Count","AUXLR273.Cumulative","AUXLR273.Skip.to.Item"
"-16 to 72","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
