"OSQ090b.Code.or.Value","OSQ090b.Value.Description","OSQ090b.Count","OSQ090b.Cumulative","OSQ090b.Skip.to.Item"
"1","Yes",170,170,"OSQ120b"
"2","No",71,241,""
"7","Refused",0,241,"OSQ120b"
"9","Don't know",1,242,"OSQ120b"
".","Missing",3573,3815,""
