"URXPAR.Code.or.Value","URXPAR.Value.Description","URXPAR.Count","URXPAR.Cumulative","URXPAR.Skip.to.Item"
"0.07 to 59.89","Range of Values",2975,2975,NA
".","Missing",177,3152,NA
