"MCQ240L.Code.or.Value","MCQ240L.Value.Description","MCQ240L.Count","MCQ240L.Cumulative","MCQ240L.Skip.to.Item"
"48 to 72","Range of Values",5,5,NA
"85","85 years or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9488,9493,NA
