"DRD370BQ.Code.or.Value","DRD370BQ.Value.Description","DRD370BQ.Count","DRD370BQ.Cumulative","DRD370BQ.Skip.to.Item"
"1 to 45","Range of Values",1097,1097,NA
".","Missing",9380,10477,NA
