"DSQTSODI.Code.or.Value","DSQTSODI.Value.Description","DSQTSODI.Count","DSQTSODI.Cumulative","DSQTSODI.Skip.to.Item"
"0.1 to 424.7","Range of Values",761,761,NA
".","Missing",9210,9971,NA
