"VIXKRD1.Code.or.Value","VIXKRD1.Value.Description","VIXKRD1.Count","VIXKRD1.Cumulative","VIXKRD1.Skip.to.Item"
"34.75 to 51.75","Range of Values",6969,6969,NA
"88","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
