"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",101,101,""
"2","No",5848,5949,"DRD370P"
".","Missing",4304,10253,""
