"DS2TSFAT.Code.or.Value","DS2TSFAT.Value.Description","DS2TSFAT.Count","DS2TSFAT.Cumulative","DS2TSFAT.Skip.to.Item"
"0.1 to 3","Range of Values",240,240,NA
".","Missing",10013,10253,NA
