"MCQ240T.Code.or.Value","MCQ240T.Value.Description","MCQ240T.Count","MCQ240T.Cumulative","MCQ240T.Skip.to.Item"
"85","85 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",9645,9645,NA
