"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",85,85,""
"2","No",4124,4209,"DRD350D"
".","Missing",5741,9950,""
