"DRD370BQ.Code.or.Value","DRD370BQ.Value.Description","DRD370BQ.Count","DRD370BQ.Cumulative","DRD370BQ.Skip.to.Item"
"1 to 30","Range of Values",1702,1702,NA
".","Missing",7842,9544,NA
