"DR2IATOA.Code.or.Value","DR2IATOA.Value.Description","DR2IATOA.Count","DR2IATOA.Cumulative","DR2IATOA.Skip.to.Item"
"0 to 66.18","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
