"URDOP5LC.Code.or.Value","URDOP5LC.Value.Description","URDOP5LC.Count","URDOP5LC.Cumulative","URDOP5LC.Skip.to.Item"
"0","At or above the detection limit",997,997,NA
"1","Below lower detection limit",1461,2458,NA
".","Missing",154,2612,NA
