"DXXLRBMC.Code.or.Value","DXXLRBMC.Value.Description","DXXLRBMC.Count","DXXLRBMC.Cumulative","DXXLRBMC.Skip.to.Item"
"16.03 to 170.56","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
