"DR1IPOTA.Code.or.Value","DR1IPOTA.Value.Description","DR1IPOTA.Count","DR1IPOTA.Cumulative","DR1IPOTA.Skip.to.Item"
"0 to 6723","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
