"URXBMA.Code.or.Value","URXBMA.Value.Description","URXBMA.Count","URXBMA.Cumulative","URXBMA.Skip.to.Item"
"0.354 to 1330","Range of Values",2355,2355,NA
".","Missing",107,2462,NA
