"RFXT016.Code.or.Value","RFXT016.Value.Description","RFXT016.Count","RFXT016.Cumulative","RFXT016.Skip.to.Item"
"124 to 133","Range of Values",33711,33711,NA
".","Missing",10,33721,NA
