"RHQ171.Code.or.Value","RHQ171.Value.Description","RHQ171.Count","RHQ171.Cumulative","RHQ171.Skip.to.Item"
"0 to 10","Range of Values",2002,2002,NA
"11","11 or more",4,2006,NA
"77","Refused",1,2007,NA
"99","Don't know",0,2007,NA
".","Missing",1279,3286,NA
