"RDQ031.Code.or.Value","RDQ031.Value.Description","RDQ031.Count","RDQ031.Cumulative","RDQ031.Skip.to.Item"
"1","Yes",376,376,""
"2","No",3225,3601,"RDQ050"
"7","Refused",1,3602,"RDQ050"
"9","Don't know",1,3603,"RDQ050"
".","Missing",5761,9364,""
