"URDMOPLC.Code.or.Value","URDMOPLC.Value.Description","URDMOPLC.Count","URDMOPLC.Cumulative","URDMOPLC.Skip.to.Item"
"0","At or above the detection limit",23,23,NA
"1","Below lower detection limit",2581,2604,NA
".","Missing",114,2718,NA
