"DR1TVC.Code.or.Value","DR1TVC.Value.Description","DR1TVC.Count","DR1TVC.Cumulative","DR1TVC.Skip.to.Item"
"0 to 2008","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
