"TYXP183.Code.or.Value","TYXP183.Value.Description","TYXP183.Count","TYXP183.Cumulative","TYXP183.Skip.to.Item"
"-297 to 9","Range of Values",1808,1808,NA
".","Missing",6661,8469,NA
