"DR2TCHL.Code.or.Value","DR2TCHL.Value.Description","DR2TCHL.Count","DR2TCHL.Cumulative","DR2TCHL.Skip.to.Item"
"0 to 1857","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
