"WTIREP40.Code.or.Value","WTIREP40.Value.Description","WTIREP40.Count","WTIREP40.Cumulative","WTIREP40.Skip.to.Item"
"0 to 237986.39808","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
