"CBQ738i.Code.or.Value","CBQ738i.Value.Description","CBQ738i.Count","CBQ738i.Cumulative","CBQ738i.Skip.to.Item"
"9","To compare which brand/food is better/healthier",1822,1822,NA
".","Missing",3442,5264,NA
