"ECQ030.Code.or.Value","ECQ030.Value.Description","ECQ030.Count","ECQ030.Cumulative","ECQ030.Skip.to.Item"
"1","Yes",249,249,""
"2","No",359,608,"ECQ060"
"7","Refused",0,608,"ECQ060"
"9","Don't know",15,623,"ECQ060"
".","Missing",3782,4405,""
