"DLQ010.Code.or.Value","DLQ010.Value.Description","DLQ010.Count","DLQ010.Cumulative","DLQ010.Skip.to.Item"
"1","Yes",565,565,NA
"2","No",9005,9570,NA
"7","Refused",0,9570,NA
"9","Don't know",5,9575,NA
".","Missing",0,9575,NA
