"FFQ0137A.Code.or.Value","FFQ0137A.Value.Description","FFQ0137A.Count","FFQ0137A.Cumulative","FFQ0137A.Skip.to.Item"
1,"Almost never or never",2286,2286,NA
2,"About 1/4 of the time",388,2674,NA
3,"About 1/2 of the time",451,3125,NA
4,"About 3/4 of the time",178,3303,NA
5,"Almost always or always",499,3802,NA
88,"Blank",2667,6469,NA
99,"Error",3,6472,NA
