"URXOPP.Code.or.Value","URXOPP.Value.Description","URXOPP.Count","URXOPP.Cumulative","URXOPP.Skip.to.Item"
"0.07 to 20.3","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
