"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",527,527,NA
"2","Usual",6916,7443,NA
"3","Much less than usual",964,8407,NA
"7","Refused",2,8409,NA
"9","Don't know",59,8468,NA
".","Missing",1785,10253,NA
