"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"9.4 to 49.9","Range of Values",8177,8177,NA
".","Missing",527,8704,NA
