"WBXF069.Code.or.Value","WBXF069.Value.Description","WBXF069.Count","WBXF069.Cumulative","WBXF069.Skip.to.Item"
"2669.6797 to 2669.6797","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
