"LBDIHGLC.Code.or.Value","LBDIHGLC.Value.Description","LBDIHGLC.Count","LBDIHGLC.Cumulative","LBDIHGLC.Skip.to.Item"
"0","At or above the detection limit",2116,2116,NA
"1","Below lower detection limit",6255,8371,NA
".","Missing",1069,9440,NA
