"OHQ620.Code.or.Value","OHQ620.Value.Description","OHQ620.Count","OHQ620.Cumulative","OHQ620.Skip.to.Item"
"1","Very often",152,152,NA
"2","Fairly often",199,351,NA
"3","Occasionally",650,1001,NA
"4","Hardly ever, or",820,1821,NA
"5","Never?",2741,4562,NA
"7","Refused",1,4563,NA
"9","Don't know",2,4565,NA
".","Missing",4799,9364,NA
