"WBXA054.Code.or.Value","WBXA054.Value.Description","WBXA054.Count","WBXA054.Cumulative","WBXA054.Skip.to.Item"
"-4.5765 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
