"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",317,317,""
"2","No",4804,5121,"DRD370V"
".","Missing",4692,9813,""
