"LBDCAPLC.Code.or.Value","LBDCAPLC.Value.Description","LBDCAPLC.Count","LBDCAPLC.Cumulative","LBDCAPLC.Skip.to.Item"
"0","At or above the detection limit",2011,2011,NA
"1","Below lower detection limit",1862,3873,NA
".","Missing",1770,5643,NA
