"URXOPM.Code.or.Value","URXOPM.Value.Description","URXOPM.Count","URXOPM.Cumulative","URXOPM.Skip.to.Item"
"0.07 to 389","Range of Values",2416,2416,NA
".","Missing",89,2505,NA
