"RXD330.Code.or.Value","RXD330.Value.Description","RXD330.Count","RXD330.Cumulative","RXD330.Skip.to.Item"
"1","Yes",929,929,""
"2","No",542,1471,"End of Section"
"7","Refused",0,1471,"End of Section"
"9","Don't know",2,1473,"End of Section"
".","Missing",4166,5639,""
