"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"10.8 to 58.2","Range of Values",8985,8985,NA
".","Missing",297,9282,NA
