"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1776,1776,NA
"1","Below lower detection limit",1429,3205,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3205,NA
".","Missing",540,3745,NA
