"DX2TOTOT.Code.or.Value","DX2TOTOT.Value.Description","DX2TOTOT.Count","DX2TOTOT.Cumulative","DX2TOTOT.Skip.to.Item"
"39884.2 to 130999.3","Range of Values",414,414,NA
".","Missing",71,485,NA
