"WTSCI52.Code.or.Value","WTSCI52.Value.Description","WTSCI52.Count","WTSCI52.Cumulative","WTSCI52.Skip.to.Item"
"0 to 465294.94103","Range of Values",727,727,NA
".","Missing",51,778,NA
