"BIXS014K.Code.or.Value","BIXS014K.Value.Description","BIXS014K.Count","BIXS014K.Cumulative","BIXS014K.Skip.to.Item"
"283 to 1031.22","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
