"DSQTCHOL.Code.or.Value","DSQTCHOL.Value.Description","DSQTCHOL.Count","DSQTCHOL.Cumulative","DSQTCHOL.Skip.to.Item"
"0.1 to 75","Range of Values",413,413,NA
".","Missing",9343,9756,NA
